Population,PlantID,C1Date,C1Height,C1_open_flwrs,C1_buds,C1_notes,C2Date,C2_open_flwrs,C2_buds,C2_notes,FCDate,FC_swollenfrt,FC_undev,FC_halfway,Fate_MT,Fate_Herb,Fate_Hum,Fate_intact
Ullen,2179,7/1/2023,60,11,0,.,.,.,.,.,10/13/2023,.,.,.,0,1,0,0
Ullen,2186,7/1/2023,48,8,4,.,.,.,.,.,10/13/2023,.,.,.,0,1,0,0
Ullen,2101,7/1/2023,47,0,8,.,.,.,.,.,10/13/2023,.,.,.,0,1,0,0
Ullen,2180,7/1/2023,52,0,10,.,.,.,.,.,10/13/2023,.,.,.,0,1,0,0
Ullen,2706,7/1/2023,50,0,8,.,.,.,.,.,.,.,.,.,.,.,.,.
Ullen,2406,.,.,.,.,.,7/12/2023,8,0,.,10/13/2023,7,1,0,0,0,0,1
Ullen,2762,.,.,.,.,.,7/12/2023,5,0,.,.,.,.,.,.,.,.,.
Ullen,2404,.,.,.,.,.,7/12/2023,8,0,.,10/13/2023,.,.,.,0,1,0,0
Ullen,2153,.,.,.,.,.,7/12/2023,14,0,.,10/13/2023,.,.,.,0,1,0,0
Ullen,2235,.,.,.,.,.,7/12/2023,8,0,.,10/13/2023,.,.,.,0,1,0,0
Ullen,2173,.,.,.,.,.,7/12/2023,5,5,.,.,.,.,.,.,.,.,.
Ullen,2734,.,.,.,.,.,7/12/2023,.,.,.,10/13/2023,.,.,.,0,1,0,0
Burnham,2111,7/7/2023,55,6,0,.,7/11/2023,6,0,.,10/13/2023,1,5,0,0,0,0,1
Burnham,2116,7/7/2023,71,14,0,.,7/11/2023,15,0,.,10/13/2023,14,1,0,0,0,0,1
Burnham,2117,7/7/2023,40,6,0,.,7/11/2023,.,.,.,10/13/2023,0,6,0,0,0,0,1
Burnham,2118,7/7/2023,53,6,0,.,7/11/2023,.,.,.,10/13/2023,.,.,.,1,0,0,0
Burnham,2121,7/7/2023,53,5,0,.,7/11/2023,6,0,.,10/13/2023,0,6,0,0,0,0,1
Burnham,2126,7/7/2023,53,8,0,.,7/11/2023,8,0,.,10/13/2023,0,8,0,0,0,0,1
Burnham,2133,7/7/2023,60,8,0,.,7/11/2023,.,.,.,10/13/2023,2,6,0,0,0.5,0,0.5
Burnham,2138,7/7/2023,63,6,0,"nodes 2,3,5 bitten off",7/11/2023,6,0,.,10/13/2023,.,.,.,0,1,0,0
Burnham,2142,7/7/2023,51,6,0,.,7/11/2023,.,.,.,10/13/2023,.,.,.,1,0,0,0
Burnham,2157,7/7/2023,68,10,0,.,7/11/2023,10,0,.,10/13/2023,.,.,.,1,0,0,0
Burnham,2167,7/7/2023,61,12,1,.,7/11/2023,13,0,.,10/13/2023,3,10,0,0,0,0,1
Burnham,2169,7/7/2023,61,8,0,.,7/11/2023,8,0,.,10/13/2023,0,8,0,0,0,0,1
Burnham,2170,7/7/2023,50,7,0,.,7/11/2023,8,0,.,10/13/2023,1,6,0,0,0,0,1
Burnham,2171,7/7/2023,48,5,0,.,7/11/2023,.,.,.,10/13/2023,.,.,.,1,0,0,0
Burnham,2176,7/7/2023,47,6,0,.,7/11/2023,.,.,.,10/13/2023,.,.,.,0,1,0,0
Burnham,2201,7/7/2023,58,15,0,.,7/11/2023,16,0,.,10/13/2023,6,9,1,0,0,0,1
Burnham,2202,7/7/2023,50,3,0,.,7/11/2023,3,0,.,10/13/2023,.,.,.,1,0,0,0
Burnham,2203,7/7/2023,54,4,0,.,7/11/2023,4,0,.,10/13/2023,.,.,.,0,1,0,0
Burnham,2204,7/7/2023,71,15,0,.,7/11/2023,14,0,.,10/13/2023,2,13,0,0,0,0,1
Burnham,2205,7/7/2023,64,12,0,.,7/11/2023,.,.,.,10/13/2023,0,3,0,0,0.5,0,0.5
Burnham,2236,7/7/2023,57,9,0,.,7/11/2023,9,0,.,10/13/2023,2,7,0,0,0,0,1
Burnham,2266,7/7/2023,47,5,0,.,7/11/2023,.,.,.,10/13/2023,.,.,.,0,1,0,0
Burnham,2408,7/7/2023,44,8,0,.,7/11/2023,.,.,.,10/13/2023,2,6,0,0,0,0,1
Burnham,2411,7/7/2023,40,3,0,.,7/11/2023,3,0,.,10/13/2023,0,3,0,0,0,0,1
Burnham,2414,7/7/2023,52,10,0,.,7/11/2023,.,.,.,10/13/2023,4,6,0,0,0,0,1
Burnham,2418,7/7/2023,40,8,0,.,7/11/2023,.,.,.,10/13/2023,1,7,1,0,0,0,1
Burnham,2714,7/7/2023,50,5,0,.,7/11/2023,.,.,.,10/13/2023,2,3,0,0,0,0,1
Burnham,2717,7/7/2023,62,7,0,.,7/11/2023,.,.,.,10/13/2023,2,5,0,0,0,0,1
Burnham,2718,7/7/2023,66,10,0,.,7/11/2023,.,.,.,10/13/2023,1,9,0,0,0,0,1
Burnham,2730,7/7/2023,54,14,0,.,7/11/2023,15,0,.,10/13/2023,6,9,0,0,0,0,1
Burnham,2731,7/7/2023,45,5,0,.,7/11/2023,5,0,.,10/13/2023,0,5,0,0,0,0,1
Burnham,2778,7/7/2023,47,7,0,.,7/11/2023,.,.,.,10/13/2023,5,2,0,0,0,0,1
Burnham,2719,.,.,.,.,.,7/11/2023,8,0,.,10/13/2023,2,6,0,0,0,0,1
Burnham,2139,.,.,.,.,.,7/11/2023,9,0,.,.,.,.,.,.,.,.,.
Burnham,2155,.,.,.,.,.,7/11/2023,8,0,.,.,.,.,.,.,.,.,.
Burnham,2715,.,.,.,.,.,7/11/2023,6,0,.,.,.,.,.,.,.,.,.
Burnham,2403,.,.,.,.,.,7/11/2023,10,0,.,.,.,.,.,.,.,.,.
Burnham,2777,.,.,.,.,.,7/11/2023,9,0,.,.,.,.,.,.,.,.,.
Burnham,2131,.,.,.,.,.,7/11/2023,7,0,.,.,.,.,.,.,.,.,.
Burnham,2146,.,.,.,.,.,7/11/2023,6,0,.,.,.,.,.,.,.,.,.
Burnham,2600,.,.,.,.,.,7/11/2023,7,0,.,.,.,.,.,.,.,.,.
Burnham,2172,.,.,.,.,.,7/11/2023,13,0,.,.,.,.,.,.,.,.,.
Burnham,2729,.,.,.,.,.,7/11/2023,8,0,.,.,.,.,.,.,.,.,.
Foxboro,2711,7/1/2023,39,13,0,.,.,.,.,.,10/13/2023,.,.,.,0,1,0,0
Foxboro,2707,7/1/2023,50,13,1,.,.,.,.,.,10/13/2023,.,.,.,0,1,0,0
Foxboro,2710,7/1/2023,47,6,1,"3 eaten: nodes 3,4,7",.,.,.,.,10/13/2023,.,.,.,1,0,0,0
Foxboro,2709,7/1/2023,25,4,5,.,.,.,.,.,10/13/2023,.,.,.,0,1,0,0
Foxboro,2704,7/1/2023,44,15,1,.,.,.,.,.,10/13/2023,.,.,.,0,1,0,0
Foxboro,2181,7/1/2023,45,11,0,.,.,.,.,.,10/13/2023,0,11,0,0,0,0,1
